id,fname,lat,long,ename
12166687,ريوش,,,
12166688,سبزوار,,,
12166689,سرخس,,,
12166690,سفيدسنگ,,,
12166691,سلامي,,,
12166692,سلطان آباد,,,
12166693,سنگان,,,
12166694,شادمهر,,,
12166695,شانديز,,,
12166696,ششتمد,,,
12166697,شهرآباد,,,
12166698,شهرزو,,,
12166699,صالح آباد,,,
12166700,طرقبه,,,
12166701,عشق آباد,,,
12166702,فرهادگرد,,,
12166703,فريمان,,,
12166704,فيروزه,,,
12166705,فيض آباد,,,
12166706,قاسم آباد,,,
12166707,قدمگاه,,,
12166708,قلندرآباد,,,
12166709,قوچان,,,
12166710,كاخك,,,
12166711,كاريز,,,
12166712,كاشمر,,,
12166713,كدكن,,,
12166714,كلات,,,
12166715,كندر,,,
12166716,گلمكان,,,
12166717,گناباد,,,
12166718,لطف آباد,,,
12166719,مزدآوند,,,
12166720,مشهد,,,
12166721,مشهدريزه,,,
12166722,ملك آباد,,,
12166723,نشتيفان,,,
12166724,نصر آباد,,,
12166725,نقاب,,,
12166726,نوخندان,,,
12166727,نيشابور,,,
12166728,نيل شهر,,,
12166729,همت آباد,,,
12166730,يونسي,,,
12166731,اسفراين,,,
12166732,ايور,,,
12166733,آشخانه,,,
12166734,بجنورد,,,
12166735,پيش قلعه,,,
12166736,تيتكانلو,,,
12166737,جاجرم,,,
12166738,حصارگرمخان,,,
12166739,درق,,,
12166740,راز,,,
12166741,سنخواست,,,
12166742,شوقان,,,
12166743,شيروان,,,
12166744,صفي آباد,,,
12166745,فاروج,,,
12166746,قاضي,,,
12166747,گرمه,,,
12166748,لوجلي,,,
12166749,اروندكنار,,,
12166750,الوان,,,
12166751,اميديه,,,
12166752,انديمشك,,,
12166753,اهواز,,,
12166754,ايذه,,,
12166755,آبادان,,,
12166756,آغاجاري,,,
12166757,باغ ملك,,,
12166758,بستان,,,
12166759,بندرامام خميني,,,
12166762,تركالكي,,,
12166763,جايزان,,,
12166764,جنت مكان,,,
12166765,چغاميش,,,
12166766,چمران,,,
12166767,چوئبده,,,
12166768,حر,,,
12166769,حسينيه,,,
12166770,حمزه,,,
12166771,حميديه,,,
12166772,خرمشهر,,,
12166773,دارخوين,,,
12166774,دزآب,,,
12166775,دزفول,,,
12166776,دهدز,,,
12166777,رامشير,,,
12166778,رامهرمز,,,
12166779,رفيع,,,
12166780,زهره,,,
12166781,سالند,,,
12166782,سردشت,,,
12166783,سماله,,,
12166784,سوسنگرد,,,
12166785,شادگان,,,
12166786,شاوور,,,
12166787,شرافت,,,
12166788,شوش,,,
12166789,شوشتر,,,
12166790,شيبان,,,
12166791,صالح شهر,,,
12166792,صالح مشطط,,,
12166793,صفي آباد,,,
12166794,صيدون,,,
12166795,قلعه تل,,,
12166796,قلعه خواجه,,,
12166797,گتوند,,,
12166798,گوريه,,,
12166799,لالي,,,
12166800,مسجدسليمان,,,
12166801,مشراگه,,,
12166802,مقاومت,,,
12166803,ملاثاني,,,
12166804,ميانرود,,,
12166805,ميداود,,,
12166806,مينوشهر,,,
12166807,ويس,,,
12166808,هفتگل,,,
12166809,هنديجان,,,
12166810,هويزه,,,
12166811,ابهر,,,
12166812,ارمغانخانه,,,
12166813,آب بر,,,
12166814,چورزق,,,
12166815,حلب,,,
12166816,خرمدره,,,
12166817,دندي,,,
12166818,زرين آباد,,,
12166819,زرين رود,,,
12166820,زنجان,,,
12166821,سجاس,,,
12166822,سلطانيه,,,
12166823,سهرورد,,,
12166824,صائين قلعه,,,
12166825,قيدار,,,
12166826,گرماب,,,
12166827,ماه نشان,,,
12166828,هيدج,,,
12166829,اميريه,,,
12166830,ايوانكي,,,
12166831,آرادان,,,
12166832,بسطام,,,
12166833,بيارجمند,,,
12166834,دامغان,,,
12166835,درجزين,,,
12166836,ديباج,,,
12166837,سرخه,,,
12166838,سمنان,,,
12166839,شاهرود,,,
12166840,شهميرزاد,,,
12166841,كلاته خيج,,,
12166842,گرمسار,,,
12166843,مجن,,,
12166844,مهدي شهر,,,
12166845,ميامي,,,
12166846,اديمي,,,
12166847,اسپكه,,,
12166848,ايرانشهر,,,
12166849,بزمان,,,
12166850,بمپور,,,
12166851,بنت,,,
12166852,بنجار,,,
12166853,پيشين,,,
12166854,جالق,,,
12166855,چاه بهار,,,
12166856,خاش,,,
12166857,دوست محمد,,,
12166858,راسك,,,
12166859,زابل,,,
12166860,زابلي,,,
12166861,زاهدان,,,
12166862,زرآباد,,,
12166863,زهك,,,
12166864,سراوان,,,
12166865,سرباز,,,
12166866,سوران,,,
12166867,سيركان,,,
12166868,علي اكبر,,,
12166869,فنوج,,,
12166870,قصرقند,,,
12166871,كنارك,,,
12166872,گشت,,,
12166873,گلمورتي,,,
12166874,محمدان,,,
12166875,محمد آباد,,,
12166876,محمدي,,,
12166877,ميرجاوه,,,
12166878,نصرت آباد,,,
12166879,نگور,,,
12166880,نوك آباد,,,
12166881,نيك شهر,,,
12166882,هيدوج,,,
12166883,اردكان,,,
12166884,ارسنجان,,,
12166885,استهبان,,,
12166886,اسير,,,
12166887,اشكنان,,,
12166888,افزر,,,
12166889,اقليد,,,
12166890,امام شهر,,,
12166891,اوز,,,
12166892,اهل,,,
12166893,ايج,,,
12166894,ايزدخواست,,,
12166895,آباده,,,
12166896,آباده طشك,,,
12166897,باب انار,,,
12166898,بالاده,,,
12166899,بنارويه,,,
12166900,بوانات,,,
12166901,بهمن,,,
12166902,بيرم,,,
12166903,بيضا,,,
